"ePow" "iPow" "postVA"
"1" 0.618047698902048 -0.160868929409069 -0.5
"2" -0.574177924867248 0.162646247278873 -1.5
"3" -1.00771451532881 0.0473019915981774 -1
"4" -0.249025482021076 -0.941737631406576 -0.5
"5" -1.22448281055959 -0.887310874846437 -1.5
"6" -1.00771451532881 -1.04685670587647 1.5
"7" -1.00771451532881 0.535331060540136 0
"8" 0.726431846517439 0.222041065062989 1
"9" 0.292895256055877 1.76361716539922 0
"10" 0.618047698902048 -0.38271041151468 0
"11" -0.682562072482638 -0.0984287489520835 1.5
"12" -1.87478769625193 -0.178129399776385 0
"13" -0.790946220098029 1.69979883298721 0
"14" 0.0761269608250956 -0.442105229298797 1
"15" 1.59350502744056 1.06161550886709 2
"16" 0.83481599413283 -0.716306240032014 -1.5
"17" 1.59350502744056 -1.6125191977102 -1
"18" 0.0761269608250956 0.523727727374316 0.5
"19" -0.465793777251857 1.58666633462046 -1
"20" -0.0322571867902946 0.190131898856981 1.5
"21" 0.0761269608250956 -0.881509208263527 0
"22" -1.1160986629442 0.169681536435372 1.5
"23" -0.682562072482638 0.584645226494873 0
"24" 0.401279403671268 -0.723486058569938 -1
"25" 0.83481599413283 0.603428378198618 1
"26" 0.509663551286658 -0.485617728670623 1.5
"27" -1.54963525340576 -0.447906895881707 0
"28" 1.26835258459439 0.410595229007568 1.5
"29" -0.89933036771342 0.196767170798826 -1
"30" -1.54963525340576 0.0444011583067223 2
"31" 0.292895256055877 -1.29204938369513 -0.5
"32" 1.70188917505595 0.432968289980276 1.5
"33" 1.26835258459439 1.36620300446988 1
"34" -0.0322571867902946 0.0176380695993378 1.5
"35" 0.509663551286658 0.365560048299302 0.5
"36" 0.618047698902048 0.926799025505145 3
"37" 1.59350502744056 -0.300108927398924 2
"38" -0.140641334405685 1.81071957404001 -0.5
"39" 0.292895256055877 0.16913698983929 -1
"40" 0.184511108440486 0.928321706841586 1
"41" 1.48512087982517 -1.51679169909219 0.5
"42" -0.89933036771342 2.75113410706753 0
"43" 0.509663551286658 -1.22892012726063 -0.5
"44" 0.726431846517439 -0.302865231308953 1
"45" -0.140641334405685 -1.24121253640396 0.5
"46" -1.33286695817498 -0.671271059323747 -0.5
"47" 0.184511108440486 0.567240226746142 1.5
"48" 0.401279403671268 2.88747327176592 1
"49" 0.509663551286658 -0.0788119918894053 2
"50" -0.140641334405685 -1.12517920474575 -1
"51" -0.682562072482638 -0.843253828878529 -1
"52" -0.790946220098029 -0.475392547459817 1
"53" 0.618047698902048 -0.766309481964257 1.5
"54" -0.0322571867902946 0.375785229510108 1.5
"55" -0.357409629636467 -0.800430405484211 0
"56" -0.682562072482638 -0.719062543942043 0
"57" -0.682562072482638 -0.0687313400600255 1.5
"58" 0.83481599413283 -0.923788085061764 1
"59" 1.37673673220978 -0.941882160788002 0
"60" -0.249025482021076 0.248148564686085 1.5
"61" -0.574177924867248 0.0857019003646006 -2.5
"62" -0.140641334405685 1.50254216916826 0
"63" -0.89933036771342 0.600527544907163 -1.5
"64" -1.1160986629442 -2.12016502371484 -1.5
"65" 0.618047698902048 1.34589717142969 0
"66" -1.33286695817498 -0.712571801381625 0.5
"67" 0.83481599413283 -0.411574215047806 -1
"68" -0.574177924867248 -1.45090613874765 -0.5
"69" -2.3083242867135 -0.445695138567759 -1.5
"70" -0.357409629636467 -0.65469966493395 -0.5
"71" -1.22448281055959 1.18718494575859 0.5
"72" 1.91865747028674 1.20085550685694 0
"73" -0.140641334405685 -0.78730439098195 1.5
"74" -1.33286695817498 -0.0126965790580104 1
"75" 0.83481599413283 -0.414619577720686 -2.5
"76" -0.465793777251857 1.24436800622876 -1.5
"77" -1.22448281055959 -0.591570408499446 0
"78" 1.159968436979 0.155321899359522 0
"79" 0.292895256055877 0.330060972824334 1
"80" 2.89411479882525 2.18271531132376 1.5
"81" 1.159968436979 -0.460888381002542 1.5
"82" 1.91865747028674 -0.281181246313753 1.5
"83" -0.574177924867248 0.0662296726833482 0.5
"84" -1.1160986629442 -1.90550336014717 0
